Entity,Code,Year,Annual net change in forest area,time
Algeria,DZA,2015,-1400.0000000000005,2015
Argentina,ARG,2015,-104800,2015
Austria,AUT,2015,3590.000000000001,2015
Azerbaijan,AZE,2015,14159.999999999995,2015
Bahrain,BHR,2015,20,2015
Bangladesh,BGD,2015,0,2015
Belarus,BLR,2015,26820,2015
Belgium,BEL,2015,0,2015
Belize,BLZ,2015,-11160,2015
Bhutan,BTN,2015,1980,2015
Bolivia,BOL,2015,-238690,2015
Brazil,BRA,2015,-1453040,2015
Bulgaria,BGR,2015,12000,2015
Burundi,BDI,2015,0,2015
Cameroon,CMR,2015,-56000,2015
Canada,CAN,2015,-37520,2015
Cape Verde,CPV,2015,300.00000000000017,2015
Central African Republic,CAF,2015,-30000,2015
Chile,CHL,2015,122920,2015
China,CHN,2015,1936790,2015
Colombia,COL,2015,-198550,2015
Congo,COG,2015,-13800,2015
Costa Rica,CRI,2015,16370.000000000002,2015
Croatia,HRV,2015,3420.0000000000005,2015
Cuba,CUB,2015,11600,2015
Denmark,DNK,2015,750.0000000000001,2015
Djibouti,DJI,2015,40.000000000000014,2015
Ecuador,ECU,2015,-64269.99999999999,2015
El Salvador,SLV,2015,-4500,2015
Equatorial Guinea,GNQ,2015,-8360,2015
Estonia,EST,2015,3480.0000000000005,2015
Ethiopia,ETH,2015,-73000,2015
Gabon,GAB,2015,-11880,2015
Georgia,GEO,2015,0,2015
Germany,DEU,2015,0,2015
Greenland,GRL,2015,0,2015
Guatemala,GTM,2015,-11600,2015
Guyana,GUY,2015,-9200,2015
Honduras,HND,2015,-20910,2015
Hungary,HUN,2015,-1560,2015
Iceland,ISL,2015,640,2015
India,IND,2015,266400,2015
Indonesia,IDN,2015,-578940,2015
Iraq,IRQ,2015,0,2015
Ireland,IRL,2015,5470,2015
Jamaica,JAM,2015,3890,2015
Kuwait,KWT,2015,0,2015
Kyrgyzstan,KGZ,2015,12710,2015
Latvia,LVA,2015,3870.000000000001,2015
Liberia,LBR,2015,-30260,2015
Liechtenstein,LIE,2015,0,2015
Lithuania,LTU,2015,2800,2015
Malawi,MWI,2015,-42000,2015
Maldives,MDV,2015,0,2015
Mali,MLI,2015,0,2015
Mauritania,MRT,2015,-5450.000000000002,2015
Mauritius,MUS,2015,90,2015
Mexico,MEX,2015,-127770,2015
Moldova,MDA,2015,19.999999999999957,2015
Monaco,MCO,2015,0,2015
Mongolia,MNG,2015,-1110,2015
Montenegro,MNE,2015,0,2015
Morocco,MAR,2015,11560,2015
Mozambique,MOZ,2015,-239250,2015
Myanmar,MMR,2015,-289710.0000000001,2015
Nauru,NRU,2015,0,2015
Nepal,NPL,2015,0,2015
Netherlands,NLD,2015,930.0000000000001,2015
New Zealand,NZL,2015,9200,2015
Nicaragua,NIC,2015,-100000,2015
Niger,NER,2015,-12420,2015
Nigeria,NGA,2015,-163300,2015
North Korea,PRK,2015,-21230,2015
Norway,NOR,2015,7799.999999999999,2015
Panama,PAN,2015,-11410,2015
Papua New Guinea,PNG,2015,-33530,2015
Paraguay,PRY,2015,-279340,2015
Peru,PER,2015,-172830,2015
Poland,POL,2015,12600,2015
Qatar,QAT,2015,0,2015
Romania,ROU,2015,13610,2015
Russia,RUS,2015,76230,2015
San Marino,SMR,2015,0,2015
Sao Tome and Principe,STP,2015,-620,2015
Senegal,SEN,2015,-40000,2015
Serbia,SRB,2015,620,2015
Singapore,SGP,2015,-180,2015
Slovenia,SVN,2015,-2029.9999999999998,2015
Somalia,SOM,2015,-76750,2015
South Africa,ZAF,2015,-36400.000000000015,2015
South Korea,KOR,2015,-10000,2015
Spain,ESP,2015,4200,2015
Sudan,SDN,2015,-170079.99999999994,2015
Suriname,SUR,2015,-11080,2015
Sweden,SWE,2015,0,2015
Switzerland,CHE,2015,3440.0000000000005,2015
Tanzania,TZA,2015,-469000,2015
Thailand,THA,2015,-37600,2015
Togo,TGO,2015,-2960,2015
Tunisia,TUN,2015,1530.0000000000002,2015
Turkey,TUR,2015,118010,2015
Uganda,UGA,2015,-41250,2015
Ukraine,UKR,2015,6600.000000000001,2015
Uzbekistan,UZB,2015,28050.000000000004,2015
Venezuela,VEN,2015,-90420,2015
Vietnam,VNM,2015,116250,2015
Zambia,ZMB,2015,-188210,2015
Zimbabwe,ZWE,2015,-46070,2015
